LabPrj,Practic,Written,Average,Grade
9.83,7.50,4.25,7.78,7.00
10.00,8.00,8.5,8.90,8.00
10.00,6.00,2,6.80,6.00
9.83,9.00,1,7.73,7.00
6.08,1.00,1,3.03,4.00
9.50,6.00,7.75,7.75,7.00
10.00,5.00,4.25,6.85,6.00
9.17,7.00,1,6.67,6.00
8.08,5.00,1.5,5.53,5.00
9.83,5.00,3,6.53,6.00
10.00,5.00,4.25,6.85,6.00
10.00,6.00,6.5,7.70,7.00
10.00,5.00,1,6.20,6.00
7.50,6.75,1,5.90,5.00
10.00,10.00,1,8.20,8.00
10.00,10.00,4.5,8.90,8.00
9.08,4.00,1,5.43,4.00
10.00,6.00,1.5,6.70,6.00
6.75,7.00,1,5.70,5.00
8.17,8.00,2,6.87,6.00
8.67,6.75,1,6.37,6.00
9.00,7.25,2,6.90,6.00
9.75,6.00,1.5,6.60,6.00
9.67,8.00,2.5,7.57,7.00
10.00,9.25,2.75,8.25,8.00
5.04,6.00,1,4.62,4.00
7.75,9.10,2.5,7.24,7.00
8.92,6.25,2,6.47,6.00
0.00,1.00,0,0.40,4.00
0.00,1.00,0,0.40,4.00
10.00,8.00,3,7.80,7.00
9.83,9.75,9.5,9.73,9.00
10.00,9.00,8.25,9.25,9.00
5.67,5.00,4.5,5.17,5.00
8.33,9.10,0,6.97,6.00
9.33,5.00,4.75,6.68,6.00
9.83,6.50,9,8.33,8.00
9.92,6.00,4.75,7.32,7.00
9.75,6.00,7.75,7.85,7.00
9.96,6.50,7.5,8.08,8.00
0.50,0.00,0,0.20,4.00
9.83,6.00,4.25,7.18,7.00
10.00,8.75,5.25,8.55,8.00
9.92,8.00,6.75,8.52,8.00
10.00,5.75,3,6.90,6.00
9.92,9.00,6.5,8.87,8.00
7.67,5.25,6.25,6.42,6.00
8.92,6.00,6,7.17,7.00
4.75,5.62,1.5,4.45,4.00
9.42,5.00,8,7.37,7.00
0.83,0.00,0,0.33,4.00
9.00,5.75,3.25,6.55,6.00
1.00,0.00,0,0.40,4.00
3.83,1.00,2,2.33,4.00
9.83,5.00,3.75,6.68,6.00
